# 2D brain simulation: Stokes pressure variance in radial direction as a function of fluid path width
#
# --- Brain parameters (fixed) --- #
# lc = 2.000000e-04 
# arcLen = 0.100000 m
# r_brain = 0.010000 m
# d_ratio = NaN
# r_curv = 0.050000 m
# inner_perturb = (x,z) -> 0.001000 * sin(abs(x) * 628.318531 - pi/2) * fld(mod2pi(abs(x) * 628.318531 - pi/2),pi) 
# outer_perturb = (x,z) -> 0.0
# BS_points = 3000
# field_Lc_lim = (0.500000, 1.000000) 
# field_Dist_lim = (0.001000, 0.005000) m 
#
# --- PDE parameters (fixed=) --- #
# μ = 8.000000e-04 Pa*s
# Κ = 1.000000e-13 m^2
# α = (x) -> 1*μ/sqrt(Κ)
# ps0 = (x) -> x[1] < 0 ? 1*133.3224 : 0.
# ∇pd0 = (x) -> VectorValue(0.0, 0.0)
#
# --- Sampling --- #
# num_samples = 20
# num_rad_lines = 300
# width = [5.000e-03, 4.763e-03, 4.526e-03, 4.289e-03, 4.053e-03, 3.816e-03, 3.579e-03, 3.342e-03, 3.105e-03, 2.868e-03, 2.632e-03, 2.395e-03, 2.158e-03, 1.921e-03, 1.684e-03, 1.447e-03, 1.211e-03, 9.737e-04, 7.368e-04, 5.000e-04]
#
# --- Data --- #
mean_pos_x, mean_pos_y, rad_len, variance
-3.979846e-02, 2.592937e-02, 4.900000e-03, 1.319814e-04
-3.962530e-02, 2.619324e-02, 4.900000e-03, 5.140377e-04
-3.945038e-02, 2.645595e-02, 4.900000e-03, 1.112026e-03
-3.927373e-02, 2.671749e-02, 4.900000e-03, 1.912700e-03
-3.909534e-02, 2.697786e-02, 4.900000e-03, 3.060568e-03
-3.891522e-02, 2.723703e-02, 4.900000e-03, 5.326886e-03
-3.873338e-02, 2.749500e-02, 4.900000e-03, 1.190807e-02
-3.854984e-02, 2.775175e-02, 4.900000e-03, 4.106426e-02
-3.831624e-02, 2.797198e-02, 5.019740e-03, 5.130656e-01
-3.805586e-02, 2.817142e-02, 5.203055e-03, 6.830573e-01
-3.779880e-02, 2.837184e-02, 5.375706e-03, 6.223690e-01
-3.754742e-02, 2.857516e-02, 5.531616e-03, 4.854963e-01
-3.730380e-02, 2.878318e-02, 5.665298e-03, 3.301545e-01
-3.706969e-02, 2.899752e-02, 5.772049e-03, 1.875860e-01
-3.684640e-02, 2.921956e-02, 5.848112e-03, 7.797567e-02
-3.663480e-02, 2.945036e-02, 5.890809e-03, 1.398418e-02
-3.643527e-02, 2.969066e-02, 5.898639e-03, 2.086060e-03
-3.624772e-02, 2.994079e-02, 5.871325e-03, 4.343824e-02
